Id. de problema,Descripción,Estado,Gravedad,Puntos de la historia,Ruta de acceso del proyecto,Tipo de ubicación,Ruta de acceso,Línea,Columna,Id. de incidente,Vínculo de ayuda,Nombre del ensamblado,Versión de ensamblado,Clave pública de ensamblado,Fragmento
NuGet.0002,Se recomienda actualizar el paquete NuGet,Active,Potential,1,src\DatosPacientes\DatosPacientes.csproj,File,src\DatosPacientes\DatosPacientes.csproj,,,Microsoft.EntityFrameworkCore.Design 6.0.13,,,,,"Microsoft.EntityFrameworkCore.Design, 6.0.13  Recomendación:  Remove Microsoft.EntityFrameworkCore.Design, and replace with new package Microsoft.EntityFrameworkCore.Design 10.0.4"
NuGet.0002,Se recomienda actualizar el paquete NuGet,Active,Potential,1,src\DatosPacientes\DatosPacientes.csproj,File,src\DatosPacientes\DatosPacientes.csproj,,,Microsoft.EntityFrameworkCore.SqlServer 6.0.15,,,,,"Microsoft.EntityFrameworkCore.SqlServer, 6.0.15  Recomendación:  Remove Microsoft.EntityFrameworkCore.SqlServer, and replace with new package Microsoft.EntityFrameworkCore.SqlServer 10.0.4"
NuGet.0002,Se recomienda actualizar el paquete NuGet,Active,Potential,1,src\DatosPacientes\DatosPacientes.csproj,File,src\DatosPacientes\DatosPacientes.csproj,,,Microsoft.EntityFrameworkCore.Tools 6.0.13,,,,,"Microsoft.EntityFrameworkCore.Tools, 6.0.13  Recomendación:  Remove Microsoft.EntityFrameworkCore.Tools, and replace with new package Microsoft.EntityFrameworkCore.Tools 10.0.4"
NuGet.0001,El paquete NuGet no es compatible,Active,Mandatory,1,src\DatosPacientes\DatosPacientes.csproj,File,src\DatosPacientes\DatosPacientes.csproj,,,Microsoft.VisualStudio.Azure.Containers.Tools.Targets 1.17.0,,,,,"Microsoft.VisualStudio.Azure.Containers.Tools.Targets, 1.17.0  Recomendación:  No se encontró ninguna versión compatible"
NuGet.0002,Se recomienda actualizar el paquete NuGet,Active,Potential,1,src\DatosPacientes\DatosPacientes.csproj,File,src\DatosPacientes\DatosPacientes.csproj,,,Microsoft.VisualStudio.Web.CodeGeneration.Design 6.0.11,,,,,"Microsoft.VisualStudio.Web.CodeGeneration.Design, 6.0.11  Recomendación:  Remove Microsoft.VisualStudio.Web.CodeGeneration.Design, and replace with new package Microsoft.VisualStudio.Web.CodeGeneration.Design 10.0.2"
NuGet.0005,El paquete NuGet está en desuso,Active,Optional,1,src\DatosPacientes\DatosPacientes.csproj,File,src\DatosPacientes\DatosPacientes.csproj,,,AutoMapper.Extensions.Microsoft.DependencyInjection 12.0.1,,,,,"AutoMapper.Extensions.Microsoft.DependencyInjection, 12.0.1  Recomendación:  The functionality of this package is now included directly in AutoMapper. Remove AutoMapper.Extensions.Microsoft.DependencyInjection, and replace with new package AutoMapper.Extensions.Microsoft.DependencyInjection, 12.0.1"
Project.0002,Es necesario cambiar el marco de destino del proyecto,Active,Mandatory,1,src\DatosPacientes\DatosPacientes.csproj,File,src\DatosPacientes\DatosPacientes.csproj,,,,,,,,Marco de destino actual: net6.0 Marco de destino recomendado: net10.0
Api.0001,Binario incompatible para la versión de .NET seleccionada,Active,Mandatory,1,src\DatosPacientes\DatosPacientes.csproj,File,src\DatosPacientes\Program.cs,80,0,T:Microsoft.Extensions.DependencyInjection.ServiceCollectionExtensions,,,,,builder.Services.AddAutoMapper(typeof(Program).Assembly);
Api.0003,Cambio de comportamiento en la versión de .NET seleccionada,Active,Potential,1,src\DatosPacientes\DatosPacientes.csproj,File,src\DatosPacientes\Program.cs,49,8,T:System.Uri,,,,,"options.AddSecurityDefinition(""Bearer"", new OpenApiSecurityScheme          {              Type = SecuritySchemeType.OAuth2,              Flows = new OpenApiOAuthFlows              {                  AuthorizationCode = new OpenApiOAuthFlow                  {                      AuthorizationUrl = new Uri($""{builder.Configuration[""Keycloak:Authority""]}/protocol/openid-connect/auth""),                      TokenUrl = new Uri($""{builder.Configuration[""Keycloak:Authority""]}/protocol/openid-connect/token""),                      Scopes = new Dictionary<string, string>                  {                      { ""openid"", ""OpenID Connect"" }                  }                  }              }          });"
Api.0003,Cambio de comportamiento en la versión de .NET seleccionada,Active,Potential,1,src\DatosPacientes\DatosPacientes.csproj,File,src\DatosPacientes\Program.cs,49,8,M:System.Uri.#ctor(System.String),,,,,"options.AddSecurityDefinition(""Bearer"", new OpenApiSecurityScheme          {              Type = SecuritySchemeType.OAuth2,              Flows = new OpenApiOAuthFlows              {                  AuthorizationCode = new OpenApiOAuthFlow                  {                      AuthorizationUrl = new Uri($""{builder.Configuration[""Keycloak:Authority""]}/protocol/openid-connect/auth""),                      TokenUrl = new Uri($""{builder.Configuration[""Keycloak:Authority""]}/protocol/openid-connect/token""),                      Scopes = new Dictionary<string, string>                  {                      { ""openid"", ""OpenID Connect"" }                  }                  }              }          });"
